ZIP,state_name,lat_avg,lng_avg,count_qualified,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_total,kw_total,yearly_sunlight_kwh_total,carbon_offset_metric_tons,existing_installs_count
20742,Maryland,38.98875289,-76.9409311,20,86.95652174,110,1158,1099,1204,6708,10279,2569.75,3111722.019,1977.37684,0
20743,Maryland,38.88580551,-76.90605846,1798,75.99323753,3964,18472,11152,14461,75675,123724,30931,3.76E+07,23887.39479,11
20745,Maryland,38.80654355,-76.99122023,327,84.71502591,2181,3177,1881,2795,22233,32267,8066.75,9896313.556,6288.717662,0
20746,Maryland,38.83883705,-76.91766771,206,91.96428571,2597,3771,1944,1904,2901,13117,3279.25,3915417.912,2488.093939,0
20748,Maryland,38.81938156,-76.94299449,28,100,4,52,85,37,4707,4885,1221.25,1471101.774,934.8272621,0
20755,Maryland,39.10810865,-76.74500748,954,86.02344454,9703,30761,23490,26114,105801,195869,48967.25,5.94E+07,37734.53062,0
20759,Maryland,39.15697809,-76.92070381,414,80.23255814,2105,10196,5499,5015,18573,41388,10347,1.25E+07,7965.103485,0
20763,Maryland,39.13773217,-76.82106145,514,82.76972625,3339,8904,6567,7570,133124,159504,39876,4.89E+07,31053.13459,0
20769,Maryland,38.98136032,-76.80933157,1857,76.29416598,2606,40068,19225,20441,32391,114731,28682.75,3.42E+07,21725.75963,128
20770,Maryland,38.99939726,-76.88104973,689,57.13101161,10457,17809,14120,13996,25671,82053,20513.25,2.39E+07,15203.174,16
20772,Maryland,38.79465695,-76.78647177,1917,88.30032243,1703,33762,23433,25946,12532,97376,24344,2.92E+07,18563.80586,85
20774,Maryland,38.88404995,-76.797124,10035,90.08887692,11354,180660,116179,128007,194423,630623,157655.75,1.90E+08,120557.0408,695
20777,Maryland,39.17784332,-76.96721501,2,33.33333333,0,20,22,0,0,42,10.5,11165.4786,7.095222083,0
20781,Maryland,38.95000872,-76.93575296,2,100,0,0,0,0,684,684,171,208616.6495,132.5676678,0
20782,Maryland,38.9638041,-76.96474513,351,82.3943662,458,3791,2222,2263,6953,15687,3921.75,4728540.492,3004.801327,2
20783,Maryland,38.99133429,-76.97270041,1516,77.74358974,2434,19401,15353,16727,46563,100478,25119.5,2.97E+07,18895.03064,92
20794,Maryland,39.15351481,-76.79375539,2396,80.8639892,6606,33192,26177,27454,582829,676258,169064.5,2.08E+08,131947.4365,0
20814,Maryland,39.00187492,-77.10291289,2036,68.73733964,1818,36058,19406,21230,34692,113204,28301,3.34E+07,21246.96708,9
20815,Maryland,38.98174038,-77.07847979,1064,69.86211425,335,17088,5335,6862,20819,50439,12609.75,1.49E+07,9442.889776,10
20816,Maryland,38.95856991,-77.11469084,498,77.08978328,388,5526,2441,4403,6330,19088,4772,5721351.933,3635.693913,3
20817,Maryland,38.99730298,-77.13768534,3151,64.29300143,3020,50496,27092,28287,111173,220068,55017,6.55E+07,41622.38713,22
20841,Maryland,39.18279817,-77.30075301,1551,94.34306569,983,29427,22364,25748,2830,81352,20338,2.50E+07,15865.42321,0
20850,Maryland,39.09152164,-77.1743497,8025,79.02511078,8949,152792,109155,95264,470212,836372,209093,2.54E+08,161663.2636,0
20851,Maryland,39.0760418,-77.12405442,2201,60.33442982,2511,23955,13730,16199,49372,105767,26441.75,3.12E+07,19805.72177,0
20852,Maryland,39.05085242,-77.12465211,4949,75.21276596,10431,88912,62891,60713,339596,562543,140635.75,1.69E+08,107134.3279,4
20853,Maryland,39.09218065,-77.0933245,3802,64.59395175,5786,46877,35704,34168,50635,173170,43292.5,5.08E+07,32285.88356,47
20854,Maryland,39.03944868,-77.19677235,10620,74.3697479,12435,247758,132995,130116,71587,594891,148722.75,1.77E+08,112653.6359,2
20855,Maryland,39.13568878,-77.14300821,2983,78.00732218,4842,51874,32256,28313,101551,218836,54709,6.58E+07,41829.90616,0
20866,Maryland,39.10267259,-76.93489919,2120,85.7605178,4619,51182,34416,30597,37998,158812,39703,4.81E+07,30596.4686,98
20868,Maryland,39.12221536,-76.97091316,90,74.38016529,570,2075,1086,1060,1922,6713,1678.25,2026834.866,1287.973764,2
20874,Maryland,39.16400727,-77.27657948,9044,86.87800192,11982,143559,109019,101883,126859,493302,123325.5,1.49E+08,94840.85709,0
20876,Maryland,39.19999703,-77.24094297,2272,87.65432099,4768,37663,26036,30430,44140,143037,35759.25,4.32E+07,35730.65145,0
20877,Maryland,39.14172134,-77.18492604,3951,80.61620078,10228,76589,55772,56640,296966,496195,124048.75,1.51E+08,95643.54571,0
20878,Maryland,39.11216879,-77.23900782,10414,85.51486287,12797,168915,115120,118320,224236,639388,159847,1.94E+08,123034.8707,0
20879,Maryland,39.17012323,-77.17973109,4808,84.93199081,7169,66146,51546,47522,227151,399534,99883.5,1.21E+08,76896.94211,0
20880,Maryland,39.13923641,-77.17433033,51,26.42487047,8,658,431,34,39,1170,292.5,339323.2655,215.6265766,0
20882,Maryland,39.23101367,-77.16509579,300,74.07407407,49,6332,3746,3992,1562,15681,3920.25,4717163.509,2997.571703,0
20886,Maryland,39.17987119,-77.19411729,3862,80.71055381,10295,72752,53928,52101,49801,238877,59719.25,7.11E+07,45210.55778,0
20889,Maryland,39.00841939,-77.09624365,19,86.36363636,0,126,209,109,0,444,111,124049.7488,78.82873174,0
20892,Maryland,39.00195838,-77.10176805,7,100,0,585,397,184,3262,4428,1107,1333694.907,847.510608,0
20895,Maryland,39.02876426,-77.07738819,3721,57.2549623,3469,48233,26887,23293,87370,189252,47313,5.62E+07,35684.49173,97
20896,Maryland,39.03637381,-77.09404159,93,34.96240602,32,1361,268,427,100,2188,547,624317.1153,396.7289484,1
20898,Maryland,39.1205531,-77.17864396,4,100,0,17,0,0,982,999,249.75,298437.3802,189.6452061,0
20899,Maryland,39.14443908,-77.21708668,19,100,69,487,0,11,5597,6164,1541,1902657.954,1209.064225,0
20901,Maryland,39.02057528,-77.00997982,4922,57.47314339,6378,63717,35163,35379,46444,187081,46770.25,5.51E+07,35000.7687,174
