2. TRIFD,3. FRS ID,30. CHEMICAL,33. CLEAN AIR ACT CHEMICAL,37. CARCINOGEN,40. 5.1 - FUGITIVE AIR,42. 5.3 - WATER,54. ON-SITE RELEASE TOTAL
37066STVGL1499S,110000493136,HYDROGEN FLUORIDE,YES,NO,0,0,5600
80549RWHDN2700E,110000607148,VANADIUM COMPOUNDS,NO,NO,1.46,0,16035.46
31326SVNNHHWY27,110000516273,NAPHTHALENE,YES,YES,0,0,0
29436CRSSG553CR,110000499764,COBALT COMPOUNDS,YES,NO,1,0,6930
32713FLRDP176WH,110012446317,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,2
47670PSNRGHWY64,110000592813,COBALT COMPOUNDS,YES,NO,0,0,70910
42337STVPR13246,110000380882,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,710000
80903MRTND700SC,110009559637,LEAD COMPOUNDS,YES,NO,0.2,0,13.4
42337STVPR13246,110000380882,ARSENIC COMPOUNDS,YES,NO,5,370,34595
55721BSWLL1200N,110041028492,BARIUM COMPOUNDS,NO,NO,5,1043,2315422
11558FBRRTMCCAR,110000582389,AMMONIA,NO,NO,0,0,55611.7
83101NGHTN5MISO,110042054013,MANGANESE COMPOUNDS,YES,NO,3596,14,233441
22026PSSMP19000,110000340774,NAPHTHALENE,YES,YES,0,0,0
41056SPRLCRTE8X,110012142127,MERCURY COMPOUNDS,YES,NO,0,0.11,744.15
68801PLTTG1035W,110000448249,HYDROGEN FLUORIDE,YES,NO,0,0,34100
77960CLTCRFMRD2,110000599692,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,21094
40272LSVLL14660,110000378733,NITRATE COMPOUNDS,NO,NO,0,55770,55770
40272LSVLL14660,110000378733,THALLIUM COMPOUNDS,NO,NO,0.1,52.54,15413.96
66040LCYGNRR1BO,110000747988,MERCURY COMPOUNDS,YES,NO,0,0,160.4
29445WLLMS2242B,110000353509,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,44203
25213JHNMS1530W,110042086505,COBALT COMPOUNDS,YES,NO,250,2,938
29445WLLMS2242B,110000353509,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,24,0,99
25213JHNMS1530W,110042086505,LEAD COMPOUNDS,YES,NO,5,15.9,409.9
19022DDYSTNO1IN,110000817493,XYLENE (MIXED ISOMERS),YES,NO,0,0,0
2905WCLMBN1CALP,110016798866,AMMONIA,NO,NO,20,0,38837
52601LLNTN4282S,110000415355,"BENZO(G,H,I)PERYLENE",YES,NO,0,0,0
64098TNGNR20250,110042630542,MANGANESE COMPOUNDS,YES,NO,5,0,46858
11232GWNSG29THS,110010433977,N-HEXANE,YES,NO,0,0,0.09
85606RZNLCHWY19,110043804390,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,1.1,0,1102.61
11105CSTLS1710S,110004367569,MERCURY  and MERCURY COMPOUNDS,YES,NO,0,0,1.73
26541FRTMRRTE53,110043799501,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,3,19,16232
