2. TRIFD,3. FRS ID,30. CHEMICAL,33. CLEAN AIR ACT CHEMICAL,37. CARCINOGEN,40. 5.1 - FUGITIVE AIR,42. 5.3 - WATER,54. ON-SITE RELEASE TOTAL
1731WCLPNM155PI,110043196528,AMMONIA,NO,NO,5,0,53949
27343RXBRS1700D,110000346386,MANGANESE COMPOUNDS,YES,NO,5,4800,67705
00950PRPPLPR165,110000607950,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0.267,72.867
47528PSDWR15400,110040086803,ARSENIC COMPOUNDS,YES,NO,0,13,13
35580LBMPW460GO,110000367380,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,17000
59323MNTNPWILLO,110041982520,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,80
00950PRPPLPR165,110000607950,"BENZO(G,H,I)PERYLENE",YES,NO,0,0.028,0.228
39735TRCTBRTE1B,110021170908,VANADIUM COMPOUNDS,NO,NO,0,0,4910
59323MNTNPWILLO,110041982520,DICHLOROMETHANE,YES,YES,0,0,128100
59323MNTNPWILLO,110041982520,MERCURY  and MERCURY COMPOUNDS,YES,NO,0,0,1030
33702FLRDPWEEDO,110000588846,MERCURY COMPOUNDS,YES,NO,0,0,14
19966NDNRVRTE33,110000603936,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,430
98531CNTRL913BI,110000490665,NAPHTHALENE,YES,YES,0,0,48
18015CNCTV2254A,110012565884,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,0.04
47630SGCFB3711D,110000403723,MANGANESE COMPOUNDS,YES,NO,0.72,1000,15110.72
8982WNWMNT91DUN,110039075675,MERCURY  and MERCURY COMPOUNDS,YES,NO,0.003,0,7.483
48161DTRTD3500E,110000405927,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,0,970,40230
1731WCLPNM155PI,110043196528,BENZENE,YES,YES,0,0,0
2808WCLVLN24BAT,110039620292,NAPHTHALENE,YES,YES,0,0,0
37716STVBL1265E,110043798487,MERCURY COMPOUNDS,YES,NO,0,0.4,43.7
96705KLCTR4392W,110064110652,AMMONIA,NO,NO,0,0,170
42086STVSH7900M,110000493305,BARIUM COMPOUNDS,NO,NO,150,2700,2065450
00624CLCTRRD337,110007816471,AMMONIA,NO,NO,0,0,114055
59323MNTNPWILLO,110041982520,BROMINE,NO,NO,0,0,0
87421SNJNGCOUNT,110000600868,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,2.7
87421SNJNGCOUNT,110000600868,COPPER COMPOUNDS,NO,NO,11,0,8060
86040NVJGN5MIOF,110028287725,MANGANESE  and MANGANESE COMPOUNDS,YES,NO,51,0,131459
63801SKSTN1551W,110000442548,MERCURY,YES,NO,0,0,49.88
77960CLTCRFMRD2,110000599692,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,1.5
00920PRPSNMERCA,110000744749,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,1.43,737.23
61520CLCDC17751,110000437947,MANGANESE COMPOUNDS,YES,NO,5,0,75777.829
61520CLCDC17751,110000437947,ZINC COMPOUNDS,NO,NO,5,0,22579.016
11232NRRWS53RDS,110008054265,N-HEXANE,YES,NO,0,0,0.43
43811MRCNL47201,110000605417,"BENZO(G,H,I)PERYLENE",YES,NO,0,0,0.1
61520CLCDC17751,110000437947,HYDROGEN FLUORIDE,YES,NO,0,0,4570.73
59034HRDNGSUGAR,110038363623,LEAD  and LEAD COMPOUNDS,YES,NO,23.3,0,73.3
70760BGCJN9951C,110000449792,MERCURY  and MERCURY COMPOUNDS,YES,NO,0,0.1,129.8
62644HVNPWSTRTE,110000595794,VANADIUM COMPOUNDS,NO,NO,0,0,9166.46
64504STJSP1413L,110014466069,AMMONIA,NO,NO,273,0,413
11742RCHRD607UN,110000323953,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,22.2
49855MRQTTEHAMP,110017426962,BARIUM  and BARIUM COMPOUNDS,NO,NO,0,0,0
30129HMMND5963A,110056960515,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,17000
9692WDDDCM11221,110070525514,N-HEXANE,YES,NO,122.35,0,126.82
7785WKGRVS13MIL,110034504757,COBALT  and COBALT COMPOUNDS,YES,NO,1,0,22183
7785WKGRVS13MIL,110034504757,COPPER  and COPPER COMPOUNDS,NO,NO,2,0,206361
43811MRCNL47201,110000605417,BARIUM COMPOUNDS,NO,NO,5,0,239089
54474WSTNP2501M,110043779783,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,1192
62644HVNPWSTRTE,110000595794,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,0
00735PRPDGPR03K,110007170747,NAPHTHALENE,YES,YES,0,0,0
49460JHCMP17000,110000411108,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,0
63801SKSTN1551W,110000442548,LEAD COMPOUNDS,YES,NO,0,0,1154
82718WYDKP48WYO,110007334982,HYDROGEN FLUORIDE,YES,NO,0,0,3178
7237WPLMPN2732A,110033168391,AMMONIA,NO,NO,1485,0,22137
49460JHCMP17000,110000411108,BARIUM COMPOUNDS,NO,NO,184,1656,2214745
15774KYSTNRTE21,110000538525,BARIUM COMPOUNDS,NO,NO,14,3578,173338
15077FRSTNOFFRT,110056969721,AMMONIA,NO,NO,30210,551,30761
62217LLNSP1901B,110011697075,ZINC COMPOUNDS,NO,NO,0,5,23357.699
7237WPLMPN2732A,110033168391,BARIUM COMPOUNDS,NO,NO,33,164,1583527
11105NWYRK31032,110000323230,NAPHTHALENE,YES,YES,5,0,52.2
80817RYNXN14020,110000467646,HYDROGEN SULFIDE,YES,NO,3500,0,4600
49460JHCMP17000,110000411108,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,7115
11768NRTHPWATER,110000582398,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,20398
47635RCKPR2791N,110000747924,"BENZO(G,H,I)PERYLENE",YES,NO,0,0,0.2
46304NRTHR246BA,110000397730,LEAD COMPOUNDS,YES,NO,0,0,9
68517LSSLT777BL,110014390514,AMMONIA,NO,NO,0,0,6393
47635RCKPR2791N,110000747924,VANADIUM COMPOUNDS,NO,NO,5,0,155616
52732DMCRN1251B,110000415630,BENZENE,YES,YES,0,0,1425
08069CRNYS500SH,110017403264,NAPHTHALENE,YES,YES,0,0,0
08069CRNYS500SH,110017403264,N-HEXANE,YES,NO,0,0,0
17821MNTRS18MCM,110000492324,LEAD COMPOUNDS,YES,NO,0,1.3,67.7
26041KMMRPRTE2X,110013725077,VANADIUM COMPOUNDS,NO,NO,5,0,120248
82201LRMRV347GR,110000468075,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,2595
58523NTLPV294CO,110000428369,AMMONIA,NO,NO,1933,0,2177
82201LRMRV347GR,110000468075,ARSENIC  and ARSENIC COMPOUNDS,YES,NO,34,0,6272
90704PBBLY1PEBB,110002420425,XYLENE (MIXED ISOMERS),YES,NO,149,0,244
32226STJHN11201,110000362134,VANADIUM COMPOUNDS,NO,NO,4.38,14,543518.38
90704PBBLY1PEBB,110002420425,AMMONIA,NO,NO,0,0,1954
26574MRCNBRTE17,110007881998,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,5,0,200005
29702DKNRG317EL,110010431648,NAPHTHALENE,YES,YES,0,0,0
29702DKNRG317EL,110010431648,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,3.8
3973WTNNSS251PE,110064668783,AMMONIA,NO,NO,0,0,49000
26574MRCNBRTE17,110007881998,VANADIUM (EXCEPT WHEN CONTAINED IN AN ALLOY),NO,NO,3,0,6912
53154KCRKP4801E,110000417709,"BENZO(G,H,I)PERYLENE",YES,NO,0,0,0.5
53154KCRKP4801E,110000417709,COPPER COMPOUNDS,NO,NO,0,400,945
47567NDNPLRRTE1,110037247912,NAPHTHALENE,YES,YES,0,0,0
46392NRTHR2723E,110000493706,MANGANESE COMPOUNDS,YES,NO,0,30004,229987
08014PGCRPRTE13,110000575182,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,154432
5848WGRTRV33669,110039526377,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,0.26
7183WJHNWT3711H,110028925581,MANGANESE COMPOUNDS,YES,NO,5,210,66423
62739MRNCR134CI,110000500501,NICKEL COMPOUNDS,YES,YES,0,0,10855
87416FRCRNCOUNT,110042068473,VANADIUM COMPOUNDS,NO,NO,3.9,80.7,77118.2
87416FRCRNCOUNT,110042068473,HYDROGEN FLUORIDE,YES,NO,48.4,0,14874.9
17821MNTRS18MCM,110000492324,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,1.2
45153CNCNN1781U,110000392860,BARIUM COMPOUNDS,NO,NO,1,0,210162
08014PGCRPRTE13,110000575182,"BENZO(G,H,I)PERYLENE",YES,NO,0,0,0
35611STVBRSHAWR,110000589355,LEAD,YES,YES,1.3,1,582.4
7183WJHNWT3711H,110028925581,ZINC COMPOUNDS,NO,NO,5,5,28377
81006PBLCS2005L,110000467851,ZINC COMPOUNDS,NO,NO,2.3,18,64420.3
66104NRMNC4240N,110000445340,BARIUM  and BARIUM COMPOUNDS,NO,NO,58.21,0,1025.31
84078BNNZP12500,110015757670,MANGANESE COMPOUNDS,YES,NO,52,0,140143
58523TTRTL62401,110000428378,BARIUM  and BARIUM COMPOUNDS,NO,NO,770,0,984038
66104NRMNC4240N,110000445340,"1,2,4-TRIMETHYLBENZENE",NO,NO,9.51,0,122.17
58523TTRTL62401,110000428378,LEAD  and LEAD COMPOUNDS,YES,NO,8.0267,0.9811,9159.081
86032CHLLPOLDUS,110017206192,"BENZO(G,H,I)PERYLENE",YES,NO,0,0,0.1
62526DMCRN4666F,110050297936,LEAD COMPOUNDS,YES,NO,0,0,20
41056SPRLCRTE8X,110012142127,LEAD COMPOUNDS,YES,NO,0,0,53081.6
01852LWLLP2TANN,110001959195,AMMONIA,NO,NO,392,0,830
47670PSNRGHWY64,110000592813,BERYLLIUM COMPOUNDS,YES,YES,0,0,36429
74337GRNDR3MIEO,110000598489,BARIUM COMPOUNDS,NO,NO,16,0,90976
32177SMNLGUSHWY,110041142304,NICKEL  and NICKEL COMPOUNDS,YES,YES,0,263,66365
37050STVCM815CU,110000493127,MANGANESE COMPOUNDS,YES,NO,48,16000,134378
11101CNSLD3854V,110033146165,ASBESTOS (FRIABLE),YES,YES,0,0,0
31326SVNNHHWY27,110000516273,LEAD COMPOUNDS,YES,NO,0,0,127.9
87045PLNSSCOUNT,110000758797,BARIUM COMPOUNDS,NO,NO,113,0,64287
37066STVGL1499S,110000493136,BARIUM COMPOUNDS,NO,NO,41,13000,1683841
7009WNTRGY1617R,110002049328,AMMONIA,NO,NO,9870,62,23632
74651SNRGNHWY15,110000598611,MANGANESE COMPOUNDS,YES,NO,0,11.4,339.4
32713FLRDP176WH,110012446317,NAPHTHALENE,YES,YES,0,0,0
42337STVPR13246,110000380882,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,9,0,37299
42350WLSNSHWY85,110000717877,COPPER COMPOUNDS,NO,NO,0,97,29039
42350WLSNSHWY85,110000717877,VANADIUM COMPOUNDS,NO,NO,0,0,76053
47670PSNRGHWY64,110000592813,LEAD COMPOUNDS,YES,NO,0.3,0,229660.3
64833SBRYG21133,110056960418,MERCURY COMPOUNDS,YES,NO,0,0,15.8
00785SPRTRKM142,110012141805,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,2,0,2302
42350WLSNSHWY85,110000717877,AMMONIA,NO,NO,2860,376,3685
58576GRTRV28753,110000494563,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,35000
21502SWRRR11600,110000551055,COPPER  and COPPER COMPOUNDS,NO,NO,0.2,0.51,2.71
32177SMNLGUSHWY,110041142304,BERYLLIUM  and BERYLLIUM COMPOUNDS,YES,YES,0,0,8658
06604BRDGP1ATLA,110000316989,MERCURY COMPOUNDS,YES,NO,0,0,0.4461
96707SHWNC91086,110027164164,MANGANESE  and MANGANESE COMPOUNDS,YES,NO,5.3,0,42.62
22734LDDMN1219L,110007395826,N-HEXANE,YES,NO,0,0,0
85606RZNLCHWY19,110043804390,COBALT COMPOUNDS,YES,NO,0,0,332.96
66040LCYGNRR1BO,110000747988,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,1,0,12979
26739MTSTRHC76B,110007876637,NAPHTHALENE,YES,YES,0,0,0
46360NRTHRWABAS,110000592154,VANADIUM COMPOUNDS,NO,NO,0,0,18140
2654WLNGVW1375F,110040576267,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,5744.8
75650HWPRK2400F,110000458282,THALLIUM COMPOUNDS,NO,NO,5,0,39522
9670WHCCMP91196,110045950315,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,25.9
85606RZNLCHWY19,110043804390,ZINC COMPOUNDS,NO,NO,0,0,1562.55
48732DKRNJNWEAD,110000593171,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,1
48732DKRNJNWEAD,110000593171,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,1.4
83101NGHTN5MISO,110042054013,MERCURY COMPOUNDS,YES,NO,1.2,0.1,104.3
46360NRTHRWABAS,110000592154,COPPER COMPOUNDS,NO,NO,0,72,9784
03801PBLCSGOSLI,110000602991,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0.1,0,12.5
17931GLBRT50ELE,110020578891,NAPHTHALENE,YES,YES,0,0,0
47670PSNRGHWY64,110000592813,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,360000
23836CHSTR500CO,110000342530,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,1.6
65244THMSHRTE1B,110000444243,VANADIUM COMPOUNDS,NO,NO,0,0,52325
55721BSWLL1200N,110041028492,ZINC COMPOUNDS,NO,NO,5,252,61253
62448MRNCR6725N,110000439393,ZINC COMPOUNDS,NO,NO,0,0,22179.83
35130LBMPW4250P,110043792651,STYRENE,YES,YES,29000,0,29025
35130LBMPW4250P,110043792651,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,23000
27052DKNRGPINEH,110000604141,ZINC COMPOUNDS,NO,NO,0,208,28908
53901CLMBNW8385,110000420385,COPPER COMPOUNDS,NO,NO,3,0,10145
26541FRTMRRTE53,110043799501,ARSENIC COMPOUNDS,YES,NO,0,27,9767
41045KNTCKUS42P,110000874224,ARSENIC COMPOUNDS,YES,NO,0.57,126.46,99515.44
84624NTRMN850BR,110000470053,ZINC COMPOUNDS,NO,NO,5,0,56255
2428WVRGNC3425R,110055497779,VANADIUM COMPOUNDS,NO,NO,0,0,103002.1
28012DKNRG253PL,110000348008,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,0.6
18237NRTHSRTE30,110000584421,BARIUM  and BARIUM COMPOUNDS,NO,NO,3,0,22070
15944CNMGHRTE20,110000538801,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,4,34,56006
12077NGRMHRTE14,110000324177,AMMONIA,NO,NO,0,814,2582.6
18240PNTHRRTE54,110030471610,ZINC COMPOUNDS,NO,NO,6,6,39
58576GRTRV28753,110000494563,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,1,3,32724
28461CGNTR1281C,110043787783,MANGANESE COMPOUNDS,YES,NO,9.3,85.7,7235
96915GMPWR322CA,110007501499,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,188962
28461CGNTR1281C,110043787783,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,38200
26541FRTMRRTE53,110043799501,BARIUM COMPOUNDS,NO,NO,0,430,89760
46360NRTHRWABAS,110000592154,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,40,0,262
28461CGNTR1281C,110043787783,COBALT  and COBALT COMPOUNDS,YES,NO,2.4,1.59,79.79
11105CSTLS1710S,110004367569,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,155.03
49855PRSQS2701L,110056964030,LEAD COMPOUNDS,YES,NO,0,1,124
15944SWRDS595PL,110006623519,ANTIMONY COMPOUNDS,YES,NO,0,0,8
48917LNSNG3725S,110040958425,BARIUM  and BARIUM COMPOUNDS,NO,NO,0,99.6,99.6
43616FRSTN4701B,110000384325,"BENZO(G,H,I)PERYLENE",YES,NO,0,0,0
32177SMNLGUSHWY,110041142304,VANADIUM COMPOUNDS,NO,NO,0,278,228426
53082DGWTR3739L,110000416871,AMMONIA,NO,NO,44,0,43263
6225WPRRST1739N,110044852068,ANTIMONY  and ANTIMONY COMPOUNDS,YES,NO,0,0,30709.3
47882MRMGNHWY54,110000592831,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,16284,0,162885
85936CRNDG7MINE,110017431242,LEAD COMPOUNDS,YES,NO,2.1,0,1139.6
53082DGWTR3739L,110000416871,VANADIUM COMPOUNDS,NO,NO,5,67,199
52151LNSNG2320P,110015649592,VANADIUM COMPOUNDS,NO,NO,5,0,3627
45144DYTNP745US,110070135391,AMMONIA,NO,NO,10,3119,3398
47882MRMGNHWY54,110000592831,LEAD  and LEAD COMPOUNDS,YES,NO,0.59,0,57066.59
66044LWRNC1250N,110000445180,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,686
45144DYTNP745US,110070135391,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,37033
45144DYTNP745US,110070135391,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,148682
96793MLGNRNKIHE,110010385528,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,29000
81639PBLCS12795,110012355281,AMMONIA,NO,NO,9900,0,9942
03801NWNGT165GO,110045448262,MERCURY  and MERCURY COMPOUNDS,YES,NO,0,0.1,0.2
03801NWNGT165GO,110045448262,LEAD  and LEAD COMPOUNDS,YES,NO,0,1.2,2.8
28144PRGRS5755N,110020516486,AMMONIA,NO,NO,10,0,78010
06382MNTVL74LAT,110000316006,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,0.1
85936CRNDG7MINE,110017431242,NAPHTHALENE,YES,YES,0,0,12
71447CLCCR275RO,110000450627,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,14,60,2709
42519CPRPW1247S,110041007166,HYDROGEN FLUORIDE,YES,NO,0,0,860
30120BWNST317CO,110000356356,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,390000
27870RSMRY12THS,110001483261,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,0.03
03801NWNGT165GO,110045448262,"BENZO(G,H,I)PERYLENE",YES,NO,0,0,0
48054DTRTD4505K,110017414038,BARIUM COMPOUNDS,NO,NO,0,2900,2504300
71052CLCCR963PO,110000450155,ZINC COMPOUNDS,NO,NO,0,453,16293
71052CLCCR963PO,110000450155,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,1.3
22942GRDNS115RE,110000341489,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,0.24
77481WPRSHYUJON,110000608254,BARIUM COMPOUNDS,NO,NO,0,607,1454153
48054DTRTD4505K,110017414038,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,13.5
5971WDVGTS241UN,110043693964,AMMONIA,NO,NO,322,0,16427
14882SCYGL228MI,110000328547,MANGANESE COMPOUNDS,YES,NO,0,44.47,924.56
84513PCFCR3MILE,110000600608,BARIUM COMPOUNDS,NO,NO,165,0,503238
82942JMBRD9MILE,110007899970,MERCURY COMPOUNDS,YES,NO,0.3,0,234
32514GLFPW11999,110002526847,HYDROGEN FLUORIDE,YES,NO,0,0,6800
84513PCFCR3MILE,110000600608,MERCURY COMPOUNDS,YES,NO,0.1,0,271.6
54474WYRHS200GR,110000422141,BARIUM  and BARIUM COMPOUNDS,NO,NO,0,0,2.6
47928PSCYG3300N,110000404349,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,540000
54474WYRHS200GR,110000422141,MANGANESE  and MANGANESE COMPOUNDS,YES,NO,0,0,317.6
47150PSNRG30JAC,110007565214,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,0.4
14882SCYGL228MI,110000328547,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,11781
64120HWTHR8700H,110017410942,MERCURY COMPOUNDS,YES,NO,0,0,18.3
74053NRTHSJCTHW,110000750740,"BENZO(G,H,I)PERYLENE",YES,NO,0,0,0
30170WNSLYGEORG,110046233919,COBALT COMPOUNDS,YES,NO,0,0,18377
70066NTRGY17705,110000732388,NAPHTHALENE,YES,YES,0,0,0
74053NRTHSJCTHW,110000750740,HYDROGEN FLUORIDE,YES,NO,0,0,50329
42452RDGRN9000H,110000591422,NAPHTHALENE,YES,YES,0,0,11
42452RDGRN9000H,110000591422,ARSENIC COMPOUNDS,YES,NO,0,0,35432
42452RDGRN9000H,110000591422,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,879000
96950CMMNWINDUS,110024539070,ZINC COMPOUNDS,NO,NO,0,0,11.02
20664MRGNT12620,110000339143,ARSENIC  and ARSENIC COMPOUNDS,YES,NO,0,38,500
20664MRGNT12620,110000339143,NAPHTHALENE,YES,YES,0,0,0
17370BRNNRWAGOR,110000601778,AMMONIA,NO,NO,132,16,27762
28704SHVLL200CP,110000587071,BARIUM COMPOUNDS,NO,NO,9,80,100249
58530MLTNR34012,110000428387,NICKEL  and NICKEL COMPOUNDS,YES,YES,0.2,0,23251.2
96732KHLGN200HO,110000486395,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,150000
33572TMPLC13031,110008319505,AMMONIA,NO,NO,0,10000,165316
37716STVBL1265E,110043798487,AMMONIA,NO,NO,3100,400,3500
7759WBLNCH2415T,110028042188,CUMENE,YES,YES,0,0,0
7759WBLNCH2415T,110028042188,CYANIDE COMPOUNDS,YES,NO,0,0,0
34219FPLMN19050,110000496776,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,623,0,623.29
15931CMBRC243RU,110000330641,COPPER COMPOUNDS,NO,NO,1.97,0,88.97
72734FLNTC21797,110000452910,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,1.1
52761LSGNR86021,110000415783,COPPER COMPOUNDS,NO,NO,2,8,37727
74434MSKGG5501T,110000860854,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,16242.9
28345PRGRSNCSR1,110004060417,NAPHTHALENE,YES,YES,0,0,0
7759WBLNCH2415T,110028042188,CRESOL (MIXED ISOMERS),YES,NO,0,0,0
61554NCRNC13082,110000438027,MERCURY  and MERCURY COMPOUNDS,YES,NO,0,0.6,28.6
74951SSHDY3MILE,110056955460,VANADIUM COMPOUNDS,NO,NO,0,0,12
40006LSVLL487CO,110000377814,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,4.3
45202CGMMF10800,110000823379,VANADIUM COMPOUNDS,NO,NO,1,0,1841
33572TMPLC13031,110008319505,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,23000
52404PRRCR3300C,110017344337,HYDROGEN FLUORIDE,YES,NO,0,0,17282
45620MRCNL7397N,110043788327,HYDROGEN FLUORIDE,YES,NO,0,0,63541
66536JFFRY25905,110006011680,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,4191
63386SXPWR8501N,110000442209,HYDROGEN FLUORIDE,YES,NO,0,0,12378
45620MRCNL7397N,110043788327,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,7
43913CRDNL306CO,110000605426,SELENIUM COMPOUNDS,YES,NO,5,1500,22200
43913CRDNL306CO,110000605426,COPPER COMPOUNDS,NO,NO,10,4330,134590
61554NCRNC13082,110000438027,MANGANESE COMPOUNDS,YES,NO,1,370,1949
38109STVLL2574P,110000374130,"BENZO(G,H,I)PERYLENE",YES,NO,0,0,0
74053NRTHSJCTHW,110000750740,VANADIUM COMPOUNDS,NO,NO,5,0,8927
63055LBDPWNO10L,110000440470,HYDROGEN FLUORIDE,YES,NO,0,0,181585
62217LLNSP1901B,110011697075,BARIUM COMPOUNDS,NO,NO,26.611,127.881,815454.612
58571LLNDL3901H,110000595099,MANGANESE  and MANGANESE COMPOUNDS,YES,NO,11,514,795
1094WVLLYN333US,110070557956,LEAD COMPOUNDS,YES,NO,0,0,16
1094WVLLYN333US,110070557956,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,326
26134PLSNTNO1PO,110038775536,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,NO,0,0,19000
58571LLNDL3901H,110000595099,ZINC COMPOUNDS,NO,NO,939,0,142634
21226BRNDN1000B,110038162902,ARSENIC  and ARSENIC COMPOUNDS,YES,NO,1,1,105
29440WNYHG661ST,110000353457,COPPER COMPOUNDS,NO,NO,7,101,7353
29440WNYHG661ST,110000353457,LEAD COMPOUNDS,YES,NO,1.9,20.1,746.8
21226BRNDN1000B,110038162902,MERCURY  and MERCURY COMPOUNDS,YES,NO,0,1,23
21226BRNDN1000B,110038162902,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,3
30120BWNST317CO,110000356356,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,0,100,45410
80817RYNXN14020,110000467646,AMMONIA,NO,NO,82,0,7483
68901WHLNNEHWY6,110001505602,MERCURY,YES,NO,0.0069,0.61,17.1869
59323MNTNPWILLO,110041982520,HEXACHLOROBENZENE,YES,YES,0,0,10
51101GRGNL2761P,110000414114,BARIUM COMPOUNDS,NO,NO,36,14,257744
35580LBMPW460GO,110000367380,COPPER COMPOUNDS,NO,NO,0,1379,76489
98531CNTRL913BI,110000490665,VANADIUM COMPOUNDS,NO,NO,1,128.44,986.14
27343RXBRS1700D,110000346386,NAPHTHALENE,YES,YES,0,0,0
33860TMPLC9995S,110000365113,LEAD COMPOUNDS,YES,NO,0,0.2,180.5
47528PSDWR15400,110040086803,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,1.9,0,3.7
55003SKNGG1103K,110000423612,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,0,0,1.7
55003SKNGG1103K,110000423612,"BENZO(G,H,I)PERYLENE",YES,NO,0,0,0.1
