(-2.85026,1.37743,-43.6953)
(-2.57051,1.20648,-43.6394)
(-2.22658,0.996243,-43.5996)
(-1.82555,0.751737,-43.5738)
(-1.37449,0.47797,-43.5602)
(-0.880488,0.17995,-43.557)
(-0.350609,-0.137313,-43.5623)
(0.208066,-0.46881,-43.5741)
(0.788463,-0.80953,-43.5907)
(1.38351,-1.15446,-43.61)
(1.98612,-1.4986,-43.6304)
(2.58922,-1.83693,-43.6498)
(3.18575,-2.16445,-43.6665)
(3.76861,-2.47615,-43.6784)
(4.33074,-2.767,-43.6839)
(4.86506,-3.03202,-43.6809)
(5.3645,-3.26618,-43.6676)
(5.82197,-3.46448,-43.6421)
(6.2304,-3.6219,-43.6026)
(6.58272,-3.73345,-43.5472)
(6.87185,-3.7941,-43.474)
(6.87185,-3.7941,-43.474)
(7.10395,-3.79924,-43.3794)
(7.29233,-3.75122,-43.2628)
(7.44062,-3.65543,-43.1268)
(7.55248,-3.5173,-42.9741)
(7.63153,-3.34224,-42.8072)
(7.68143,-3.13565,-42.6289)
(7.7058,-2.90294,-42.4416)
(7.7083,-2.64954,-42.248)
(7.69255,-2.38085,-42.0507)
(7.66221,-2.10228,-41.8524)
(7.62091,-1.81925,-41.6556)
(7.57229,-1.53716,-41.4629)
(7.51999,-1.26143,-41.2771)
(7.46766,-0.997476,-41.1006)
(7.41892,-0.750699,-40.9361)
(7.37743,-0.526515,-40.7862)
(7.34683,-0.330336,-40.6536)
(7.33075,-0.167573,-40.5408)
(7.33283,-0.0436389,-40.4505)
(7.35672,0.0360554,-40.3853)
(7.35672,0.0360554,-40.3853)
(7.39119,0.0770947,-40.3421)
(7.42306,0.0903439,-40.3157)
(7.45299,0.0783118,-40.3049)
(7.48164,0.0435072,-40.3085)
(7.50969,-0.0115611,-40.3255)
(7.5378,-0.0843845,-40.3545)
(7.56664,-0.172454,-40.3946)
(7.59688,-0.273261,-40.4446)
(7.62919,-0.384297,-40.5033)
(7.66423,-0.503052,-40.5696)
(7.70268,-0.627019,-40.6424)
(7.74519,-0.753688,-40.7204)
(7.79244,-0.880551,-40.8027)
(7.8451,-1.0051,-40.888)
(7.90383,-1.12482,-40.9753)
(7.9693,-1.23721,-41.0632)
(8.04218,-1.33976,-41.1509)
(8.12314,-1.42996,-41.237)
(8.21285,-1.5053,-41.3204)
(8.31197,-1.56328,-41.4001)
(8.31197,-1.56328,-41.4001)
(8.4319,-1.60577,-41.4805)
(8.58087,-1.63726,-41.5667)
(8.75473,-1.65913,-41.6581)
(8.94937,-1.67278,-41.7541)
(9.16064,-1.67958,-41.8543)
(9.38443,-1.68093,-41.958)
(9.61659,-1.67819,-42.0648)
(9.85301,-1.67277,-42.174)
(10.0896,-1.66604,-42.2852)
(10.3221,-1.6594,-42.3978)
(10.5465,-1.65422,-42.5112)
(10.7586,-1.65188,-42.625)
(10.9544,-1.65379,-42.7385)
(11.1296,-1.66131,-42.8512)
(11.2801,-1.67584,-42.9625)
(11.4019,-1.69876,-43.0721)
(11.4908,-1.73146,-43.1792)
(11.5426,-1.77531,-43.2833)
(11.5532,-1.83171,-43.3839)
(11.5186,-1.90205,-43.4805)
(11.5186,-1.90205,-43.4805)
(11.4266,-1.99177,-43.571)
(11.2726,-2.10354,-43.6544)
(11.0638,-2.23454,-43.7317)
(10.8071,-2.38196,-43.8041)
(10.5096,-2.54298,-43.8727)
(10.1785,-2.71477,-43.9385)
(9.82081,-2.89452,-44.0026)
(9.44355,-3.07942,-44.0661)
(9.0538,-3.26664,-44.1301)
(8.65865,-3.45337,-44.1956)
(8.26516,-3.63678,-44.2638)
(7.8804,-3.81407,-44.3358)
(7.51145,-3.98241,-44.4125)
(7.16536,-4.13899,-44.4951)
(6.8492,-4.28098,-44.5847)
(6.57006,-4.40558,-44.6824)
(6.33499,-4.50995,-44.7892)
(6.15106,-4.59129,-44.9062)
(6.02535,-4.64678,-45.0345)
(5.96492,-4.67359,-45.1752)
