(-2.89528,1.78449,-44.8736)
(-2.89528,1.78449,-44.8736)
(7.11428,-1.87902,-41.9296)
(-1.64408,1.32655,-44.5056)
(9.91528,-1.73266,-42.4403)
(4.92469,-1.07763,-42.5736)
(8.23307,-3.51859,-47.2734)
(0.621935,0.643629,-44.0059)
(-2.91779,1.98802,-45.4628)
(8.12926,-1.34898,-42.6665)
(2.73402,-0.523134,-42.9459)
(5.73564,-1.38804,-43.2555)
(7.89149,-2.23482,-42.7946)
(6.96627,-2.70278,-46.4473)
(7.76153,-2.01454,-44.0655)
(0.953123,0.568685,-45.0007)
(2.82238,0.358766,-43.8221)
(-1.05345,1.39617,-45.065)
(4.40572,-0.681117,-43.7093)
(6.30457,-0.886475,-43.0583)
(6.48062,-3.40599,-44.3169)
(3.55546,-0.682116,-42.9935)
(8.89561,-1.43704,-45.1145)
(5.73214,-1.43835,-43.1341)
(-2.89528,1.78449,-44.8736)
(7.50628,-2.20392,-43.2761)
(2.71822,-0.123585,-43.6595)
(7.13534,-2.61539,-45.6482)
(7.41774,-1.41693,-42.5282)
(6.83447,-1.82492,-44.2769)
(4.42641,-1.62413,-45.4385)
(1.93553,-0.10584,-44.1429)
(2.6648,0.190099,-44.0685)
(2.22922,0.418713,-44.0036)
(4.59742,-1.60833,-43.2755)
(0.0523589,0.944408,-44.6789)
(7.89257,-2.63713,-44.4037)
(4.11056,-0.531335,-43.741)
(6.9241,-1.2517,-43.1084)
(6.12224,-1.32346,-43.2521)
(1.22556,0.878537,-44.4145)
(6.08298,-2.82838,-44.0235)
(5.29616,-0.753876,-43.0123)
(4.6157,-1.18387,-43.4179)
(3.66324,-1.57957,-44.005)
(8.03483,-1.52676,-44.6922)
(8.78903,-1.69727,-44.281)
(5.35941,-1.77374,-43.7701)
(1.73875,-0.511151,-44.1759)
(-0.540096,0.822021,-44.536)
(2.04386,-0.639684,-45.3538)
(6.04088,-1.68047,-43.4819)
(7.38647,-1.4956,-42.1631)
(3.77526,-0.656002,-43.8583)
(4.42749,-0.76542,-46.6669)
(7.28803,-2.37864,-44.8689)
(-2.89528,1.78449,-44.8736)
(7.41974,-1.60068,-43.0043)
(2.7351,-0.276234,-43.2176)
(7.15337,-1.84705,-44.0527)
(7.41788,-1.38606,-42.5622)
(4.94688,-1.51929,-44.9093)
(4.41458,-1.32061,-45.978)
(5.34888,-0.587988,-43.0653)
(2.6041,0.330276,-44.1027)
(3.01762,0.115771,-43.9116)
(4.23452,-0.977392,-43.08)
(3.05434,0.0935971,-43.7606)
(7.43032,-2.50946,-44.5509)
(3.90769,-1.06826,-43.5137)
(4.36638,-0.955651,-44.1198)
(1.94204,0.29454,-44.5116)
(0.893182,0.830855,-44.3876)
(6.68161,-2.00202,-44.324)
(5.40176,-0.894755,-43.3512)
(4.8173,-0.772625,-43.6728)
(5.06923,-2.13679,-43.6756)
(6.54142,-1.17369,-43.1321)
(7.59245,-1.9225,-44.2735)
(5.44797,-0.866927,-42.9934)
(2.3981,-0.286272,-44.0751)
(2.31421,0.21779,-44.1902)
(5.28504,-1.47481,-44.5435)
(5.23558,-2.06349,-43.9311)
(7.4906,-1.6711,-43.2623)
(4.93412,-0.864247,-43.2399)
(5.14482,-1.09329,-44.0147)
(2.91996,-0.550899,-43.8413)
(2.73404,0.281828,-43.9424)
(4.12049,-1.42396,-44.0784)
(2.61005,-0.299023,-43.9857)
(7.66211,-1.41268,-44.612)
(6.02401,-1.56251,-44.031)
(8.44429,-1.62648,-44.2609)
(6.44678,-1.1792,-42.9209)
(6.64138,-1.32882,-43.8966)
(3.46897,-0.89172,-44.2278)
(2.07422,-0.448143,-44.1895)
(3.87827,-0.540553,-43.4633)
(0.154677,0.47196,-44.6156)
(5.8639,-1.47147,-44.3806)
(2.09623,-0.636996,-45.0843)
(7.97352,-1.55638,-44.0352)
(4.44936,-1.56395,-43.8576)
(0.629319,0.149716,-44.3698)
(5.99818,-1.193,-42.8061)
(3.19794,-1.18476,-44.6447)
(0.71617,0.500378,-45.3938)
(3.30187,-0.251014,-43.888)
(4.16794,-0.850752,-46.2287)
(5.24497,-1.73965,-45.5507)
(5.42063,-2.0969,-44.5823)
(4.93661,-0.764378,-43.0616)
(3.67572,-0.228979,-43.727)
(3.02415,0.216162,-43.7936)
(5.70119,-1.26948,-42.8176)
(2.64307,-0.236374,-44.0874)
(1.23665,0.769298,-44.4299)
(8.34391,-1.59511,-45.8435)
(5.51997,-0.713464,-42.9527)
(4.40572,-0.681117,-43.7093)
(4.10434,-0.573974,-43.7092)
(0.880411,0.208368,-44.4656)
(1.94668,-0.0188001,-44.1023)
(6.1866,-0.826635,-42.3154)
(6.19594,-0.917775,-43.4208)
(10.5012,-2.36359,-49.3715)
(10.5012,-2.36359,-49.3715)
